date,series,value
2024-11-17,Core,159500
2024-11-17,Growth,151000
2024-11-17,Enterprise,162500
2024-11-17,Partner,147000
2024-11-17,International,142500
2024-11-17,Self-Serve,136500
2024-11-24,Core,160000
2024-11-24,Growth,151500
2024-11-24,Enterprise,160500
2024-11-24,Partner,146000
2024-11-24,International,141500
2024-11-24,Self-Serve,136500
2024-12-01,Core,160000
2024-12-01,Growth,151500
2024-12-01,Enterprise,158500
2024-12-01,Partner,144500
2024-12-01,International,140500
2024-12-01,Self-Serve,136500
2024-12-08,Core,159500
2024-12-08,Growth,151000
2024-12-08,Enterprise,156000
2024-12-08,Partner,143000
2024-12-08,International,139000
2024-12-08,Self-Serve,136500
2024-12-15,Core,159000
2024-12-15,Growth,150000
2024-12-15,Enterprise,153000
2024-12-15,Partner,141000
2024-12-15,International,138000
2024-12-15,Self-Serve,136500
2024-12-22,Core,158000
2024-12-22,Growth,149500
2024-12-22,Enterprise,150000
2024-12-22,Partner,139000
2024-12-22,International,136500
2024-12-22,Self-Serve,136500
2024-12-29,Core,157000
2024-12-29,Growth,149000
2024-12-29,Enterprise,147000
2024-12-29,Partner,137500
2024-12-29,International,136000
2024-12-29,Self-Serve,136500
2025-01-05,Core,156000
2025-01-05,Growth,148500
2025-01-05,Enterprise,144500
2025-01-05,Partner,136500
2025-01-05,International,135500
2025-01-05,Self-Serve,136500
2025-01-12,Core,155000
2025-01-12,Growth,148500
2025-01-12,Enterprise,142500
2025-01-12,Partner,135500
2025-01-12,International,136000
2025-01-12,Self-Serve,137000
2025-01-19,Core,154500
2025-01-19,Growth,148500
2025-01-19,Enterprise,140500
2025-01-19,Partner,135500
2025-01-19,International,136500
2025-01-19,Self-Serve,138000
2025-01-26,Core,154000
2025-01-26,Growth,148500
2025-01-26,Enterprise,139500
2025-01-26,Partner,135500
2025-01-26,International,138000
2025-01-26,Self-Serve,139500
2025-02-02,Core,153500
2025-02-02,Growth,149000
2025-02-02,Enterprise,139000
2025-02-02,Partner,136000
2025-02-02,International,140000
2025-02-02,Self-Serve,141000
2025-02-09,Core,153000
2025-02-09,Growth,149000
2025-02-09,Enterprise,139000
2025-02-09,Partner,137000
2025-02-09,International,142500
2025-02-09,Self-Serve,143000
2025-02-16,Core,152500
2025-02-16,Growth,149000
2025-02-16,Enterprise,139500
2025-02-16,Partner,138500
2025-02-16,International,145500
2025-02-16,Self-Serve,145500
2025-02-23,Core,152000
2025-02-23,Growth,149000
2025-02-23,Enterprise,140500
2025-02-23,Partner,140500
2025-02-23,International,148500
2025-02-23,Self-Serve,148000
2025-03-02,Core,151500
2025-03-02,Growth,149000
2025-03-02,Enterprise,141500
2025-03-02,Partner,142500
2025-03-02,International,152500
2025-03-02,Self-Serve,150500
2025-03-09,Core,151500
2025-03-09,Growth,148500
2025-03-09,Enterprise,142500
2025-03-09,Partner,144500
2025-03-09,International,156500
2025-03-09,Self-Serve,153500
2025-03-16,Core,151000
2025-03-16,Growth,148500
2025-03-16,Enterprise,144500
2025-03-16,Partner,147000
2025-03-16,International,160500
2025-03-16,Self-Serve,156000
2025-03-23,Core,150500
2025-03-23,Growth,148500
2025-03-23,Enterprise,146000
2025-03-23,Partner,149500
2025-03-23,International,165000
2025-03-23,Self-Serve,159000
2025-03-30,Core,150500
2025-03-30,Growth,148500
2025-03-30,Enterprise,147500
2025-03-30,Partner,152000
2025-03-30,International,169500
2025-03-30,Self-Serve,161000
2025-04-06,Core,150000
2025-04-06,Growth,149000
2025-04-06,Enterprise,149500
2025-04-06,Partner,155000
2025-04-06,International,173500
2025-04-06,Self-Serve,163500
2025-04-13,Core,150000
2025-04-13,Growth,149500
2025-04-13,Enterprise,151000
2025-04-13,Partner,157500
2025-04-13,International,177000
2025-04-13,Self-Serve,165500
2025-04-20,Core,150000
2025-04-20,Growth,151000
2025-04-20,Enterprise,152500
2025-04-20,Partner,160000
2025-04-20,International,180000
2025-04-20,Self-Serve,167000
2025-04-27,Core,150000
2025-04-27,Growth,152000
2025-04-27,Enterprise,154500
2025-04-27,Partner,162500
2025-04-27,International,182000
2025-04-27,Self-Serve,168500
2025-05-04,Core,150000
2025-05-04,Growth,154000
2025-05-04,Enterprise,156000
2025-05-04,Partner,165000
2025-05-04,International,183500
2025-05-04,Self-Serve,169000
2025-05-11,Core,150000
2025-05-11,Growth,156000
2025-05-11,Enterprise,157500
2025-05-11,Partner,167000
2025-05-11,International,184500
2025-05-11,Self-Serve,169500
2025-05-18,Core,150500
2025-05-18,Growth,158000
2025-05-18,Enterprise,159000
2025-05-18,Partner,169500
2025-05-18,International,185000
2025-05-18,Self-Serve,170000
2025-05-25,Core,151000
2025-05-25,Growth,160500
2025-05-25,Enterprise,160500
2025-05-25,Partner,171000
2025-05-25,International,185000
2025-05-25,Self-Serve,169500
2025-06-01,Core,151500
2025-06-01,Growth,163500
2025-06-01,Enterprise,162000
2025-06-01,Partner,173000
2025-06-01,International,185000
2025-06-01,Self-Serve,169000
2025-06-08,Core,152000
2025-06-08,Growth,166000
2025-06-08,Enterprise,163500
2025-06-08,Partner,174500
2025-06-08,International,184500
2025-06-08,Self-Serve,168000
2025-06-15,Core,153000
2025-06-15,Growth,169000
2025-06-15,Enterprise,164500
2025-06-15,Partner,175500
2025-06-15,International,184000
2025-06-15,Self-Serve,167000
2025-06-22,Core,154500
2025-06-22,Growth,171500
2025-06-22,Enterprise,166000
2025-06-22,Partner,176500
2025-06-22,International,183500
2025-06-22,Self-Serve,166000
2025-06-29,Core,155500
2025-06-29,Growth,174500
2025-06-29,Enterprise,167000
2025-06-29,Partner,177500
2025-06-29,International,183000
2025-06-29,Self-Serve,164500
